register_pair,successful_simulations,total_simulations,success_rate,success_rate_percent
alu_operand_b_ex_o_tag/sd_o + tcr_load_store/hc_o,14,266,0.05263157894736842,5.263157894736842
alu_operand_c_ex_o_tag/sd_o + tcr_load_store/hc_o,14,266,0.05263157894736842,5.263157894736842
check_s1_o_tag/sd_o + tcr_load_store/hc_o,14,266,0.05263157894736842,5.263157894736842
check_s2_o_tag/sd_o + tcr_load_store/hc_o,14,266,0.05263157894736842,5.263157894736842
check_d_o_tag/sd_o + tcr_load_store/hc_o,14,266,0.05263157894736842,5.263157894736842
register_set_o_tag/sd_o + tcr_load_store/hc_o,14,266,0.05263157894736842,5.263157894736842
is_store_post_o_tag/sd_o + tcr_load_store/hc_o,14,266,0.05263157894736842,5.263157894736842
memory_set_o_tag/sd_o + tcr_load_store/hc_o,14,266,0.05263157894736842,5.263157894736842
sd_o_rf_tag + tcr_load_store/hc_o,14,266,0.05263157894736842,5.263157894736842
rs1_o_tag/sd_o + tcr_load_store/hc_o,14,266,0.05263157894736842,5.263157894736842
tcr_load_store/hc_o + tpr_arith/sd_o,14,266,0.05263157894736842,5.263157894736842
tcr_load_store/hc_o + tpr_branch/sd_o,14,266,0.05263157894736842,5.263157894736842
tcr_load_store/hc_o + tpr_jump/sd_o,14,266,0.05263157894736842,5.263157894736842
tcr_load_store/hc_o + tpr_shift/sd_o,14,266,0.05263157894736842,5.263157894736842
tcr_load_store/hc_o + tpr_comparison/sd_o,14,266,0.05263157894736842,5.263157894736842
tcr_load_store/hc_o + tpr_logical/sd_o,14,266,0.05263157894736842,5.263157894736842
tcr_load_store/hc_o + tpr_load_store_mode/sd_o,14,266,0.05263157894736842,5.263157894736842
tcr_load_store/hc_o + tpr_load_store_enable/sd_o,14,266,0.05263157894736842,5.263157894736842
tcr_arith/sd_o + tcr_load_store/hc_o,14,266,0.05263157894736842,5.263157894736842
tcr_branch/sd_o + tcr_load_store/hc_o,14,266,0.05263157894736842,5.263157894736842
tcr_jump/sd_o + tcr_load_store/hc_o,14,266,0.05263157894736842,5.263157894736842
tcr_load_store/hc_o + tcr_shift/sd_o,14,266,0.05263157894736842,5.263157894736842
tcr_comparison/sd_o + tcr_load_store/hc_o,14,266,0.05263157894736842,5.263157894736842
tcr_load_store/hc_o + tcr_logical/sd_o,14,266,0.05263157894736842,5.263157894736842
tcr_execute/sd_o + tcr_load_store/hc_o,14,266,0.05263157894736842,5.263157894736842
data_we_q_tag/sd_o + tcr_load_store/hc_o,14,266,0.05263157894736842,5.263157894736842
rdata_offset_q_tag/sd_o + tcr_load_store/hc_o,14,266,0.05263157894736842,5.263157894736842
data_type_q_tag/sd_o + tcr_load_store/hc_o,14,266,0.05263157894736842,5.263157894736842
rdata_q_tag/sd_o + tcr_load_store/hc_o,14,266,0.05263157894736842,5.263157894736842
memory_set_o_tag/hc_o + tcr_load_store/hc_o,55,1064,0.05169172932330827,5.169172932330826
csr_group20/hc_o + id_group6/hc_o,55,1064,0.05169172932330827,5.169172932330826
csr_group12/hc_o + csr_group15/hc_o,105,2044,0.05136986301369863,5.136986301369863
alu_operand_b_ex_o_tag/hc_o + tcr_load_store/hc_o,54,1064,0.05075187969924812,5.075187969924812
csr_group20/hc_o + id_group7/hc_o,54,1064,0.05075187969924812,5.075187969924812
csr_group20/hc_o + id_group8/hc_o,54,1064,0.05075187969924812,5.075187969924812
csr_group20/hc_o + lsu_group1/hc_o,54,1064,0.05075187969924812,5.075187969924812
csr_group20/hc_o + data_type_q_tag,28,560,0.05,5.0
csr_group20/hc_o + rdata_offset_q_tag,28,560,0.05,5.0
alu_operator_o_mode + csr_group20/hc_o,28,560,0.05,5.0
csr_group14/hc_o + csr_group20/hc_o,28,560,0.05,5.0
csr_group18/hc_o + csr_group20/hc_o,28,560,0.05,5.0
csr_group20/hc_o + register_set_o_tag,14,280,0.05,5.0
csr_group20/hc_o + store_dest_addr_ex_o_tag,14,280,0.05,5.0
csr_group20/hc_o + store_source_ex_o_tag,14,280,0.05,5.0
alu_operand_a_ex_o_tag + csr_group20/hc_o,14,280,0.05,5.0
csr_group20/hc_o + use_store_ops_ex_o,14,280,0.05,5.0
csr_group20/hc_o + rf_reg[0],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[1],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[2],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[3],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[4],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[5],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[6],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[7],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[8],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[9],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[10],14,280,0.05,5.0
alu_operand_b_ex_o_tag + csr_group20/hc_o,14,280,0.05,5.0
csr_group20/hc_o + rf_reg[11],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[12],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[13],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[14],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[15],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[16],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[17],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[18],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[19],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[20],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[21],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[22],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[23],14,280,0.05,5.0
alu_operand_c_ex_o_tag + csr_group20/hc_o,14,280,0.05,5.0
csr_group20/hc_o + rf_reg[24],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[25],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[26],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[27],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[28],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[29],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[30],14,280,0.05,5.0
csr_group20/hc_o + rf_reg[31],14,280,0.05,5.0
csr_group20/hc_o + rs1_o_tag,14,280,0.05,5.0
csr_group20/hc_o + data_we_q_tag,14,280,0.05,5.0
check_d_o_tag + csr_group20/hc_o,14,280,0.05,5.0
check_s1_o_tag + csr_group20/hc_o,14,280,0.05,5.0
