register,successful_simulations,total_simulations,success_rate,success_rate_percent
use_store_ops_ex_o/sd_o,48,19416,0.002472187886279357,0.2472187886279357
alu_operand_a_ex_o_tag/sd_o,48,19416,0.002472187886279357,0.2472187886279357
alu_operand_b_ex_o_tag/sd_o,48,19416,0.002472187886279357,0.2472187886279357
check_s1_o_tag/sd_o,48,19416,0.002472187886279357,0.2472187886279357
pc_if_o_tag/sd_o,46,19416,0.002369180057684384,0.2369180057684384
pc_id_o_tag/sd_o,46,19416,0.002369180057684384,0.2369180057684384
store_source_ex_o_tag/sd_o,46,19416,0.002369180057684384,0.2369180057684384
alu_operand_c_ex_o_tag/sd_o,46,19416,0.002369180057684384,0.2369180057684384
check_s2_o_tag/sd_o,46,19416,0.002369180057684384,0.2369180057684384
check_d_o_tag/sd_o,46,19416,0.002369180057684384,0.2369180057684384
register_set_o_tag/sd_o,46,19416,0.002369180057684384,0.2369180057684384
is_store_post_o_tag/sd_o,46,19416,0.002369180057684384,0.2369180057684384
memory_set_o_tag/sd_o,46,19416,0.002369180057684384,0.2369180057684384
rs1_o_tag/sd_o,46,19416,0.002369180057684384,0.2369180057684384
data_we_q_tag/sd_o,46,19416,0.002369180057684384,0.2369180057684384
rdata_offset_q_tag/sd_o,46,19416,0.002369180057684384,0.2369180057684384
data_type_q_tag/sd_o,46,19416,0.002369180057684384,0.2369180057684384
rdata_q_tag/sd_o,46,19416,0.002369180057684384,0.2369180057684384
tpr_load_store_mode/sd_o,23,10616,0.0021665410700828936,0.21665410700828935
tpr_load_store_enable/sd_o,23,10616,0.0021665410700828936,0.21665410700828935
if_stage/sd_o,40,18480,0.0021645021645021645,0.21645021645021645
tpr_arith/sd_o,18,10616,0.0016955538809344385,0.16955538809344384
tpr_branch/sd_o,18,10616,0.0016955538809344385,0.16955538809344384
tpr_jump/sd_o,18,10616,0.0016955538809344385,0.16955538809344384
tpr_shift/sd_o,18,10616,0.0016955538809344385,0.16955538809344384
tpr_comparison/sd_o,18,10616,0.0016955538809344385,0.16955538809344384
tpr_logical/sd_o,18,10616,0.0016955538809344385,0.16955538809344384
tcr_arith/sd_o,18,10616,0.0016955538809344385,0.16955538809344384
tcr_branch/sd_o,18,10616,0.0016955538809344385,0.16955538809344384
tcr_jump/sd_o,18,10616,0.0016955538809344385,0.16955538809344384
tcr_shift/sd_o,18,10616,0.0016955538809344385,0.16955538809344384
tcr_comparison/sd_o,18,10616,0.0016955538809344385,0.16955538809344384
tcr_logical/sd_o,18,10616,0.0016955538809344385,0.16955538809344384
sp_o_rf_tag,6,3688,0.0016268980477223427,0.16268980477223427
sp_o_5,4,3688,0.0010845986984815619,0.10845986984815618
tcr_load_store/sd_o,11,10616,0.0010361718161266014,0.10361718161266015
tcr_execute/sd_o,22,22080,0.0009963768115942029,0.09963768115942029
csr_group20/sd_o,11,11464,0.0009595254710397767,0.09595254710397766
csr_group12/sd_o,9,11464,0.00078506629448709,0.07850662944870901
csr_group15/sd_o,9,11464,0.00078506629448709,0.07850662944870901
id_group0/sd_o,7,11464,0.0006106071179344033,0.06106071179344033
