register,successful_simulations,total_simulations,success_rate,success_rate_percent
store_dest_addr_ex_o_tag/hc_o,102,54312,0.0018780380026513477,0.18780380026513477
store_source_ex_o_tag/hc_o,102,54312,0.0018780380026513477,0.18780380026513477
use_store_ops_ex_o/hc_o,102,54312,0.0018780380026513477,0.18780380026513477
alu_operand_c_ex_o_tag/hc_o,102,54312,0.0018780380026513477,0.18780380026513477
check_s1_o_tag/hc_o,102,54312,0.0018780380026513477,0.18780380026513477
check_s2_o_tag/hc_o,102,54312,0.0018780380026513477,0.18780380026513477
check_d_o_tag/hc_o,102,54312,0.0018780380026513477,0.18780380026513477
is_store_post_o_tag/hc_o,102,54312,0.0018780380026513477,0.18780380026513477
data_we_q_tag/hc_o,102,54312,0.0018780380026513477,0.18780380026513477
alu_operand_b_ex_o_tag/hc_o,94,54312,0.0017307409044041832,0.17307409044041833
register_set_o_tag/hc_o,94,54312,0.0017307409044041832,0.17307409044041833
tpr_branch/hc_o,96,55572,0.0017274886633556468,0.1727488663355647
tpr_shift/hc_o,96,55572,0.0017274886633556468,0.1727488663355647
tpr_comparison/hc_o,96,55572,0.0017274886633556468,0.1727488663355647
tpr_logical/hc_o,96,55572,0.0017274886633556468,0.1727488663355647
tcr_shift/hc_o,96,55572,0.0017274886633556468,0.1727488663355647
tcr_comparison/hc_o,96,55572,0.0017274886633556468,0.1727488663355647
tcr_logical/hc_o,96,55572,0.0017274886633556468,0.1727488663355647
tcr/sd_o_32,29,16890,0.0017169923031379515,0.17169923031379514
tpr_jump/hc_o,95,55572,0.0017094939897790253,0.17094939897790254
rs1_o_tag/hc_o,92,54312,0.0016939166298423922,0.16939166298423922
pc_id_o_tag/hc_o,90,54312,0.001657092355280601,0.1657092355280601
tpr_arith/hc_o,92,55572,0.0016555099690491615,0.16555099690491615
tcr_branch/hc_o,91,55572,0.00163751529547254,0.163751529547254
id_group0/hc_o,96,60378,0.0015899831064294942,0.15899831064294942
id_group1/hc_o,96,60378,0.0015899831064294942,0.15899831064294942
id_group4/hc_o,96,60378,0.0015899831064294942,0.15899831064294942
id_group5/hc_o,96,60378,0.0015899831064294942,0.15899831064294942
id_group6/hc_o,96,60378,0.0015899831064294942,0.15899831064294942
id_group7/hc_o,96,60378,0.0015899831064294942,0.15899831064294942
csr_group3/hc_o,96,60378,0.0015899831064294942,0.15899831064294942
csr_group6/hc_o,96,60378,0.0015899831064294942,0.15899831064294942
csr_group8/hc_o,96,60378,0.0015899831064294942,0.15899831064294942
csr_group9/hc_o,96,60378,0.0015899831064294942,0.15899831064294942
csr_group10/hc_o,96,60378,0.0015899831064294942,0.15899831064294942
csr_group11/hc_o,96,60378,0.0015899831064294942,0.15899831064294942
csr_group16/hc_o,96,60378,0.0015899831064294942,0.15899831064294942
lsu_group2/hc_o,96,60378,0.0015899831064294942,0.15899831064294942
lsu_group3/hc_o,96,60378,0.0015899831064294942,0.15899831064294942
lsu_group4/hc_o,96,60378,0.0015899831064294942,0.15899831064294942
lsu_group5/hc_o,96,60378,0.0015899831064294942,0.15899831064294942
csr_group18/hc_o,50,31944,0.0015652391685449538,0.15652391685449538
tcr_arith/hc_o,86,55572,0.0015475419275894336,0.15475419275894337
tcr_jump/hc_o,86,55572,0.0015475419275894336,0.15475419275894337
csr_group0/hc_o,93,60378,0.0015402961343535726,0.15402961343535726
id_group3/hc_o,92,60378,0.0015237338103282652,0.15237338103282652
id_group8/hc_o,92,60378,0.0015237338103282652,0.15237338103282652
csr_group13/hc_o,92,60378,0.0015237338103282652,0.15237338103282652
csr_group2/hc_o,91,60378,0.001507171486302958,0.1507171486302958
csr_group4/hc_o,91,60378,0.001507171486302958,0.1507171486302958
csr_group7/hc_o,91,60378,0.001507171486302958,0.1507171486302958
lsu_group1/hc_o,91,60378,0.001507171486302958,0.1507171486302958
csr_group14/hc_o,48,31944,0.0015026296018031556,0.15026296018031557
csr_group20/hc_o,48,31944,0.0015026296018031556,0.15026296018031557
csr_group1/hc_o,90,60378,0.001490609162277651,0.1490609162277651
csr_group5/hc_o,90,60378,0.001490609162277651,0.1490609162277651
alu_operand_a_ex_o_tag/hc_o,80,54312,0.0014729709824716454,0.14729709824716453
id_group2/hc_o,85,60378,0.0014077975421511147,0.14077975421511146
tcr_load_store/hc_o,78,55572,0.0014035845389764629,0.14035845389764628
csr_group17/hc_o,84,60378,0.0013912352181258073,0.13912352181258072
id_stage/sd_o,7,5262,0.0013302926643861649,0.13302926643861648
csr_group19/hc_o,40,31944,0.001252191334835963,0.12521913348359628
sd_o_26,6,5028,0.0011933174224343676,0.11933174224343676
sp_o_32,6,5502,0.0010905125408942203,0.10905125408942204
tpr/sd_o_32,14,16890,0.0008288928359976317,0.08288928359976316
ex_stage/sd_o,4,5262,0.0007601672367920942,0.07601672367920942
lsu/sd_o,4,5262,0.0007601672367920942,0.07601672367920942
sp_o_26,2,2766,0.0007230657989877079,0.07230657989877079
sp_o_rf_tag,2,2766,0.0007230657989877079,0.07230657989877079
tcr_execute/sd_o,10,16560,0.0006038647342995169,0.06038647342995169
sd_o_rf_tag,19,33450,0.0005680119581464873,0.05680119581464873
sd_o_5,10,19590,0.0005104645227156713,0.05104645227156713
lsu/hc_o,18,36804,0.000489077274209325,0.0489077274209325
if_stage/sd_o,6,13860,0.0004329004329004329,0.04329004329004329
pc_if_o_tag/sd_o,6,14562,0.00041203131437989287,0.04120313143798929
memory_set_o_tag/sd_o,6,14562,0.00041203131437989287,0.04120313143798929
pc_id_o_tag/sd_o,4,14562,0.0002746875429199286,0.02746875429199286
alu_operator_o_mode/sd_o,4,14562,0.0002746875429199286,0.02746875429199286
store_dest_addr_ex_o_tag/sd_o,4,14562,0.0002746875429199286,0.02746875429199286
store_source_ex_o_tag/sd_o,4,14562,0.0002746875429199286,0.02746875429199286
use_store_ops_ex_o/sd_o,4,14562,0.0002746875429199286,0.02746875429199286
